路径名称,事件ID,动作类型,路径点索引,对话内容,动画名称,手势类型
1,PATH_ACTION,PATH_ACTION,1,伟大的守护者——,,
1,PATH_ACTION,PATH_ACTION,,请聆听我们的呼唤——,,
1,PATH_ACTION,PATH_ACTION,,请注视我们的身影——,,
1,PATH_ACTION,PATH_ACTION,,守护者，您可否降身于我们身侧,,
1,PATH_ACTION,PATH_ACTION,,守护您虔诚的子民？,,
1,,,,我们需要的是一次仪式。,,
1,,,,一次召唤。,,
1,,,,一次真正的决断。,,
1,,,,……,,
1,,,,……,,
,,,,我不能说。,,
,,,,守护者，我的心在滴血……,,
,,,,希望您能告诉我，,,
,,,,我做出了正确的选择……,,
,,,,啊啊啊啊——,,
,,,,……,,
,,,,呼——,,
,,,,仪式开始了……,,
,,,,守护者，请保佑我……,,
,,,,狼守卫，您应当知道,,
,,,,您的生命是守护者的恩赐吧？,,
,,,,那么为什么不承认自己的衰老？,,
,,,,您这样的行径是与守护者的初衷相违背的。,,
,,,,为了高尚的品德，我永远正直，,,
,,,,我知道什么是应该做的，,,
,,,,既然知道，我就会去践行；,,
,,,,你呢？,,
,,,,你永远在做你不该做的事，,,
,,,,还引以为傲沾沾自喜。,,
,,,,公主受伤了还在昏迷，,,
,,,,你却还在做徒劳无功的……,,
,,,,”努力“，如果这样说是正确的。,,
,,,,你这样做是对守护者的亵渎！,,
,,,,……,,
,,,,！,,
,,,,守护者，,,
,,,,请原谅我。,,
,,,,我是您卑微的追随者，,,
,,,,口出冒犯之语属实并非我本意。,,
,,,,怎么会这样呢？,,
,,,,如果们能齐心协力地做正直体面的人，,,
,,,,我们的王国就会变得更好。,,
,,,,我只是希望……,,
,,,,如果我们的王国能变得更好……,,
,,,,守护者，请您原谅我……,,
,,,,……,,
,,,,是啊，我们的国度也终于即将迎来终结。,,
,,,,终于解脱了。,,
,,,,我的意思是，这一切终于都要结束了。,,
,,,,您或许也感到了，,,
,,,,我们的存在在守护者眼中是微不足道的。,,
,,,,我们的生命即将走向终点，,,
,,,,但影之国度并未走向灭亡。,,
,,,,相反，在我们离去后，,,
,,,,它或许会迎来更有益的转变。,,
,,,,——这一切都是守护者的伟大的意志。,,
,,,,您没有资格要求别人做什么吧？,,
,,,,我们不过是在做自己认为正确的事。,,
,,,,自己不行动，,,
,,,,谈论与行动相关的话题，,,
,,,,并不是很有说服力的做法。,,
,,,,我做的一切努力都是为了这个国度,,
,,,,以及我们伟大的守护者！,,
,,,,你怎么能说……,,
,,,,……,,
,,,,守护者啊……,,
,,,,请再次……,,
,,,,原谅我……,,
,,,,与诗人不同，,,
,,,,我全然是一名乐观主义者,,
,,,,我不相信深渊会吞噬我们的王国。,,
,,,,公主正在此处安眠，,,
,,,,她若明白守护者的苦心，,,
,,,,自当明白我慎重考虑后做出的决定。,,
,,,,如若不出意外或说她有一丝一毫意愿，,,
,,,,此刻应当依然悠悠转醒，,,
,,,,为何她看上去依然毫无血色？,,
,,,,以我之命换取公主之命，,,
,,,,此法在古书中亦有记载。,,
,,,,我的法术自当正确无误，,,
,,,,这一点我确信无疑。,,
,,,,就连公主也不理解我的一番苦心，,,
,,,,那么我的牺牲又是为了什么？,,
,,,,……,,
,,,,伟大的守护者在上！,,
,,,,祂的神力必能庇佑影之国度！,,
,,,,我对此坚信不疑。,,
,,,,守护者，请再次降临在这个世界……,,
,,,,我的坚持自然有他的理由，,,
,,,,（看见兔子拖尸体，鹿一言不发，缓缓移动）,,
,,,,……,,
,,,,伟大的守护者，,,
,,,,请再次降临在您的国度……,,
,,,,只有您才可以拯救这一切……,,
