路径名称,事件ID,动作类型,路径点索引,对话内容,动画名称,手势类型
1,PATH_ACTION,PATH_ACTION,1,天哪我受不了了！,,
1,PATH_ACTION,PATH_ACTION,,不要再提什么守护神了，,,
1,PATH_ACTION,PATH_ACTION,,祂要真存在，,,
1,PATH_ACTION,PATH_ACTION,,早该看见我们像驴子拉磨般兜圈子了！,,
1,PATH_ACTION,PATH_ACTION,,我说……！,,
,,,,啊呀！您这铁皮罐头...,,
,,,,够了...你们眼里只有公主。,,
,,,,嘻嘻...那祂该变成内侍大人呀？,,
1,,,,毕竟您捅人心脏的手艺...,,
1,,,,比神更利落呢~,,
1,,,,……。,,
2,PATH_ACTION,PATH_ACTION,,守护神？哈！,,
,,,,若祂真存在——,,
,,,,怎会让您这老忠犬啃馊骨头三十年？,,
,,,,绞呀~,,
,,,,您这铁片可比公主的冷眼暖和多了！,,
,,,,话说...,,
,,,,您深夜摸她棺椁的手...,,
,,,,是在祈祷还是丈量掐脖子的位置？,,
,,,,蛆...虫？,,
,,,,是啊...我早该吞了那碗馊饭！,,
,,,,而不是奢求您当年捞我出来时——,,
,,,,掌心的老茧是为我而磨！,,
,,,,多完美的脊骨沟壑啊...,,
,,,,若把匕首卡进第三节骨缝...,,
,,,,您倒地时会不会终于...,,
,,,,用正眼瞧我一次？,,
3,PATH_ACTION,PATH_ACTION,,嘘...影子在教我怎么走路呢~,,
,,,,左七步停顿，右三步按剑...,,
,,,,笨鸟！别暴露猎人的位置啊！,,
,,,,汗味混着铁锈...,,
,,,,和地牢送饭勺一个味！,,
,,,,您凭什么嫌弃我？！,,
,,,,等您断气时...,,
,,,,我要把这泥塞进您喉管——,,
,,,,"好听听""高贵""被玷污的呛咳！",,
,,,,祭司说杀人会永困瞬间...,,
,,,,可若这一瞬能烙进您瞳孔——,,
,,,,便是我的永恒了！,,
4,PATH_ACTION,PATH_ACTION,,亲爱的观众~,,
,,,,今日上演《忠犬的椎骨会唱歌》！,,
,,,,剧情梗概：,,
,,,,蛆虫帮铁皮罐头开了个...,,
,,,,通风口！,,
,,,,滴答~滴答~,,
,,,,您说地牢馊饭养不活小青蛙？,,
,,,,可它教会我——,,
,,,,佐料够狠，剩饭也能放倒獒犬！,,
,,,,第三节...对啦！,,
,,,,当年您这里抵着我发抖的肋骨——,,
,,,,"嘻嘻~现在换我帮您""矫正"" 姿势！",,
,,,,道具检查~,,
,,,,旧披风？用来堵惨叫刚刚好！,,
,,,,毒酒？谢幕的庆功宴呢！,,
,,,,至于您...,,
,,,,我唯一的观众兼主演...,,
,,,,可要活到掌声雷动那刻呀！,,
,,,,等您倒下时——,,
,,,,"""小混蛋...""",,
,,,,"""我在呢！这就送您永远暖和的抱抱！""",,
,FROG4,GESTURE,,观众席空荡荡呢…,,FROG
,FROG4,GESTURE,,杀完您之后…,,FROG
,FROG4,GESTURE,,谁来看我下一场戏？,,FROG
,FROG4,GESTURE,,不划算啊…,,FROG
,FROG4,GESTURE,,用余生噩梦换三秒快感？,,FROG
,FROG4,GESTURE,,可若不杀您…,,FROG
,FROG4,GESTURE,,我拿什么证明活过？！,,FROG
5,PATH_ACTION,PATH_ACTION,,您盔甲熏香…竟掺了公主鸟笼的松脂味？！,,
,,,,该死…手怎么僵了？,,
,,,,都怪祭司那老秃鹫在看着我！,,
,,,,多完美的时机！,,
,,,,全毁在您这身腌入味的丧服上！,,
,,,,都怪您太肮脏！,,
,,,,汗臭腌入骨髓的看门狗…,,
,,,,杀您是替王国清垃圾！,,
,,,,等着吧…,,
,,,,下次定给您这忠犬的骨灰盒,,
,,,,"刻个""殉主标兵""的匾额！",,
,,,,嘻嘻~,,
,,,,乖手手~,,
,,,,您这么喜欢公主，,,
,,,,这个她亲手雕刻送给你的雕像，,,
,,,,相比您很珍视吧？,,
,,,,只不过后来它被我偷偷拿走了，,,
,,,,现在它该…,,
,,,,物归原主啦！,,
,,,,"等您弯腰捡这""御赐之物""时——",,
,,,,月光会替我吻透您后心！,,
,,,,一、二…噗嗤！,,
,,,,您听~连风都笑出鸽哨声了~,,
,,,,我就守在这里，,,
,,,,呵呵，,,
,,,,守着，,,
,,,,杀了你~,,
6,PATH_ACTION,PATH_ACTION,,一步…两步…,,
,,,,我的心跳和您的脚步重叠了~,,
,,,,三！——,,
,FROG6,GESTURE,,小混蛋…,,DEFAULT
,FROG6,GESTURE,,刺尖捅穿声带！,,DEFAULT
,FROG6,GESTURE,,再睁眼：,,DEFAULT
