路径名称,事件ID,动作类型,路径点索引,对话内容,动画名称,手势类型
1,,,1,请伸出你的手！,,
,,,,向前伸，向前伸……,,
,,,,直到穿越阴影，抵达梦的王国……！,,
,,,,伟大的守护神，请您降临于此地——,,
,,,,求您垂怜这困在时间牢笼中的羔羊——！,,
1,PATH_ACTION,PATH_ACTION,,亲爱的诗人，我明白你心中的忧虑。,,
1,PATH_ACTION,PATH_ACTION,,我不知道为什么这一切周而复始，,,
1,PATH_ACTION,PATH_ACTION,,只是我们别无选择！,,
1,PATH_ACTION,PATH_ACTION,,公主被困在笼中，丧失意识不知生死。,,
1,PATH_ACTION,PATH_ACTION,,时间正在循环，相同的一幕总是在上演。,,
1,,,,我们被困在这里了！,,
1,,,,守护神啊！现在只有您能够拯救这个王国！,,
1,,,,圣典中有着详细记载：,,
1,,,,当统治者的意识从王国消失，,,
1,,,,她的肉体和灵魂就会脱节。,,
,,,,由于她掌控着时间的权柄，,,
,,,,我们必须唤醒她以终止时间循环。,,
,,,,我们会下意识地重复上一个循环自己做的事情，,,
,,,,循环的起点会越来越晚，,,
,,,,时间会越来越紧迫。,,
,,,,可怜的诗人，,,
,,,,您怎会作此感想？,,
,,,,祂只要变幻出我们的样子，,,
,,,,就可以轻易在我们的心灵中留下永久的烙印。,,
2,,,,肃静！我已找到仪式的文书记载！,,
,,,,若想唤醒公主，诸位请铭记在心：,,
,,,,找到你们最珍视之物——,,
,,,,务必找到正确的物品。,,
,,,,三刻后月蚀之时，携真物立于祭坛...,,
,,,,献祭它，或者永远困在今日！,,
3,,,,不……,,
,,,,孩子……,,
,,,,这是错误的。,,
,,,,诗人的灰烬迷了神明双眼，,,
,,,,内侍的血渗进祭坛裂缝。,,
,,,,永不复焉！,,
,,,,而您——,,
,,,,捧着这截曾经带来温暖,,
,,,,但现在已经丧失温度的手！,,
,,,,它是你最珍视的东西吗？,,
,,,,愿守护神指引你直视你的内心！,,
,,,,每个人的存在都至关重要，,,
,,,,这一点我已多次强调。,,
,,,,无论哪次循环，,,
,,,,您斩断未来的瞬间都将无数次重演，,,
,,,,我们都被困在你挥刀的那一秒。,,
,,,,直到一切被阴影吞噬，,,
,,,,痛苦将永远盘旋在我们头顶。,,
,,,,时间到了，月蚀开始，法阵启动。,,
,,,,结果已然可以料到，,,
,,,,但它依然会被执行，,,
,,,,因为执行仪式本身毋庸置疑是正确的。,,
,,,,……,,
,,,,仪式失败，这也理所当然。,,
4,,,,可悲啊！,,
,,,,诗人以为抓住词语就能不朽，,,
,,,,守卫以为攥紧剑柄就是忠诚...,,
,,,,而弄臣您——,,
,,,,剖开她血肉时，,,
,,,,找的究竟是温暖，,,
,,,,还是证明您配被这双手拥抱？,,
,,,,哈！断剑！空囊！尸骸！,,
,,,,诗人您烧尽词句却留空囊...,,
,,,,多讽刺！连灰烬都比你敢填满虚空！,,
,,,,——而您！弄臣！,,
,,,,给死手戴活人手套？,,
,,,,您想骗神...,,
,,,,还是骗自己这双手曾愿拥抱您？！,,
,,,,我们像戴着手套摸火炉的蠢货！,,
,,,,以为触到温暖...实则隔皮革啃噬余温！,,
,,,,守卫的剑锈是胆怯的痂！,,
,,,,诗人的空囊是未啼的喑哑！,,
,,,,弄臣的是...,,
,,,,...是地牢里永远够不到的母亲的爱抚！,,
5,,,,三位如约而至，,,
,,,,法阵填补完整。,,
,,,,活着踏进祭坛——,,
,,,,便是诸君献给时间的第一件珍物。,,
,,,,可是，看啊...月光流过掌心，,,
,,,,正如阴影吞噬王国。,,
,,,,你们献祭的哪是珍物？,,
,,,,为何守卫的忠诚结出带刺铁茧？,,
,,,,诗人的梦想凝固成拒斥回响？,,
,,,,弄臣的渴求竟化作...,,
,,,,血痂包裹的母性倒影？,,
,,,,我们像蒙眼雕琢灵魂的匠人——,,
,,,,诗人剜出心脏当刻刀，,,
,,,,守卫拆下肋骨作錾子，,,
,,,,弄臣竟抓把腐土充填神龛...,,
,,,,痛啊！这铁茧扎手，,,
,,,,回响噬心，锈斑蚀骨！,,
,,,,原来错献珍物...,,
,,,,比死亡更接近永恒湮灭！,,
,,,,诗人，你烧毁的哪是诗稿？,,
,,,,是不敢破土的梦想之根！,,
,,,,守卫，你供奉的何止忠诚？,,
,,,,是恐惧被弃的带锁镣铐！,,
,,,,弄臣，你掠夺的岂止温度？,,
,,,,是地牢里锈蚀的自我镜像！,,
,,,,——而我？,,
,,,,竟以教条拓成血肉之躯，,,
,,,,这双手...,,
,,,,连捧一滴泪都会漏给僵死的戒律！,,
,,,,原来公主永不苏醒的真相是...,,
,,,,我们宁愿把心炼成错误祭品,,
,,,,也不敢直视——,,
,,,,在我们各自胸腔跳动的阴影之源！,,
6,,,,守卫的忠诚融作破晓金液...,,
,,,,诗人的梦想绽出音律新芽...,,
,,,,弄臣的渴求凝成初雪结晶...,,
,,,,一切完美如神谕拓印！,,
,,,,可为何祭坛在抗拒？,,
,,,,沙漏倒流如呕吐的胃——,,
,,,,这书页在灼烧我的手！,,
,,,,我分明是您最虔诚的刻碑匠啊...,,
,,,,为何连骨髓都刻满教条，,,
,,,,却雕不出您想要的黎明？！,,
6,,,,守卫的忠诚融作破晓金液...,,
,,,,诗人的梦想绽出音律新芽...,,
,,,,弄臣的渴求凝成初雪结晶...,,
,,,,一切完美如神谕拓印！,,
,,,,可为何祭坛在抗拒？,,
,,,,沙漏倒流如呕吐的胃——,,
,,,,这书页在灼烧我的手！,,
,,,,我分明是您最虔诚的刻碑匠啊...,,
,,,,为何连骨髓都刻满教条，,,
,,,,却雕不出您想要的黎明？！,,
7,,,,原来火焰才是终极真理...,,
7,,,,它早该焚毁我拓印教义的盲从之手！,,
,,,,看啊...我十六岁就写道：,,
,,,,“仪式应是心魂震颤的余波，,,
,,,,而非囚禁星光的模具”,,
,,,,却花半生把惊雷驯化成诵经声！,,
,,,,——我现在明白了：,,
,,,,严苛遵循圣典如同给活人裹尸布，,,
,,,,而真正的虔诚...,,
,,,,是允许神性从伤口长出翅膀！,,
,,,,根本不需要完美仪式...,,
,,,,只需弄臣敢捧出未经矫饰的渴望，,,
,,,,内侍愿拆下自我禁锢的铠甲，,,
,,,,诗人肯为未诞生的诗冒渎焚身——,,
,,,,以及我这老朽...,,
,,,,终于敢用带血的骨掌掐灭虚假圣火！,,
,,,,原来拯救从来不是唤醒沉睡者...,,
,,,,是所有装睡的灵魂——,,
,,,,同时睁开了眼睛。,,
,,,,,,
,,,,,,
