路径ID,路径名称,分数下限,分数上限,事件ID,动作类型,路径点索引,对话内容,动画名称,循环动画,显示时间,延迟时间,停留时间,手势类型,分数影响,是否活跃,事件起始点,事件结束点
# NPC_ID,0
# NPC_NAME,Owl
# CURRENT_SCORE,0
# PATH,owl-1,1
# PATH_START_TIME,owl-1,0
# TIME_POINT,owl-1,0,0,
owl-1,1,0,100,PATH_ACTION,PATH_ACTION,6,亲爱的诗人，我明白你心中的忧虑。,,1,2,0,0,,,True,,
owl-1,1,0,100,PATH_ACTION,PATH_ACTION,7,我不知道为什么这一切周而复始，,,1,2,0,0,,,True,,
owl-1,1,0,100,PATH_ACTION,PATH_ACTION,8,只是我们别无选择！,,1,2,0,0,,,True,,
owl-1,1,0,100,PATH_ACTION,PATH_ACTION,9,公主被困在笼中，丧失意识不知生死。,,1,2,0,0,,,True,,
owl-1,1,0,100,PATH_ACTION,PATH_ACTION,10,时间正在循环，相同的一幕总是在上演。,,1,2,0,0,,,True,,
owl-1,1,0,100,PATH_ACTION,PATH_ACTION,11,我们被困在这里了！,,1,2,0,0,,,True,,
owl-1,1,0,100,PATH_ACTION,PATH_ACTION,12,守护神啊！现在只有您能够拯救这个王国！,,1,2,0,0,,,True,,
owl-1,1,0,100,PATH_ACTION,PATH_ACTION,13,圣典中有着详细记载：,,1,2,0,0,,,True,,
owl-1,1,0,100,PATH_ACTION,PATH_ACTION,14,当统治者的意识从王国消失，,,1,2,0,0,,,True,,
owl-1,1,0,100,PATH_ACTION,PATH_ACTION,15,她的肉体和灵魂就会脱节。,,1,2,0,0,,,True,,
owl-1,1,0,100,PATH_ACTION,PATH_ACTION,16,由于她掌控着时间的权柄，,,1,2,0,0,,,True,,
owl-1,1,0,100,PATH_ACTION,PATH_ACTION,17,我们必须唤醒她以终止时间循环。,,1,2,0,0,,,True,,
owl-1,1,0,100,PATH_ACTION,PATH_ACTION,18,我们会下意识地重复上一个循环自己做的事情，,,1,2,0,0,,,True,,
owl-1,1,0,100,PATH_ACTION,PATH_ACTION,19,循环的起点会越来越晚，,,1,2,0,0,,,True,,
owl-1,1,0,100,PATH_ACTION,PATH_ACTION,20,时间会越来越紧迫。,,1,2,0,0,,,True,,
owl-1,1,0,100,PATH_ACTION,PATH_ACTION,21,可怜的诗人，,,1,2,0,0,,,True,,
owl-1,1,0,100,PATH_ACTION,PATH_ACTION,22,您怎会作此感想？,,1,2,0,0,,,True,,
owl-1,1,0,100,PATH_ACTION,PATH_ACTION,23,祂只要变幻出我们的样子，,,1,2,0,0,,,True,,
owl-1,1,0,100,PATH_ACTION,PATH_ACTION,24,就可以轻易在我们的心灵中留下永久的烙印。,,1,2,0,0,,,True,,
# PATH,owl-2,2
# PATH_START_TIME,owl-2,45
# TIME_POINT,owl-2,0,0,
owl-2,2,0,100,PATH_ACTION,PATH_ACTION,25,肃静！我已找到仪式的文书记载！,,1,2,0,0,,,True,,
owl-2,2,0,100,PATH_ACTION,PATH_ACTION,26,若想唤醒公主，诸位请铭记在心：,,1,2,0,0,,,True,,
owl-2,2,0,100,PATH_ACTION,PATH_ACTION,27,找到你们最珍视之物——,,1,2,0,0,,,True,,
owl-2,2,0,100,PATH_ACTION,PATH_ACTION,28,务必找到正确的物品。,,1,2,0,0,,,True,,
owl-2,2,0,100,PATH_ACTION,PATH_ACTION,29,三刻后月蚀之时，携真物立于祭坛...,,1,2,0,0,,,True,,
owl-2,2,0,100,PATH_ACTION,PATH_ACTION,30,献祭它，或者永远困在今日！,,1,2,0,0,,,True,,
# PATH,owl-3,3
# PATH_START_TIME,owl-3,60
# TIME_POINT,owl-3,0,0,
# TIME_POINT,owl-3,4,20,
# TIME_POINT,owl-3,12,10,
# TIME_POINT,owl-3,20,10,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,31,不……,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,32,孩子……,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,33,这是错误的。,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,34,诗人的灰烬迷了神明双眼，,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,35,内侍的血渗进祭坛裂缝。,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,36,永不复焉！,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,37,而您——,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,38,捧着这截曾经带来温暖,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,39,但现在已经丧失温度的手！,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,40,它是你最珍视的东西吗？,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,41,愿守护神指引你直视你的内心！,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,42,每个人的存在都至关重要，,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,43,这一点我已多次强调。,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,44,无论哪次循环，,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,45,您斩断未来的瞬间都将无数次重演，,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,46,我们都被困在你挥刀的那一秒。,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,47,直到一切被阴影吞噬，,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,48,痛苦将永远盘旋在我们头顶。,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,49,时间到了，月蚀开始，法阵启动。,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,50,结果已然可以料到，,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,51,但它依然会被执行，,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,52,因为执行仪式本身毋庸置疑是正确的。,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,53,……,,1,2,0,0,,,True,,
owl-3,3,0,100,PATH_ACTION,PATH_ACTION,54,仪式失败，这也理所当然。,,1,2,0,0,,,True,,
# PATH,owl-4,4
# PATH_START_TIME,owl-4,110
# TIME_POINT,owl-4,0,0,
# TIME_POINT,owl-4,9,10,
owl-4,4,0,100,PATH_ACTION,PATH_ACTION,55,可悲啊！,,1,2,0,0,,,True,,
owl-4,4,0,100,PATH_ACTION,PATH_ACTION,56,诗人以为抓住词语就能不朽，,,1,2,0,0,,,True,,
owl-4,4,0,100,PATH_ACTION,PATH_ACTION,57,守卫以为攥紧剑柄就是忠诚...,,1,2,0,0,,,True,,
owl-4,4,0,100,PATH_ACTION,PATH_ACTION,58,而弄臣您——,,1,2,0,0,,,True,,
owl-4,4,0,100,PATH_ACTION,PATH_ACTION,59,剖开她血肉时，,,1,2,0,0,,,True,,
owl-4,4,0,100,PATH_ACTION,PATH_ACTION,60,找的究竟是温暖，,,1,2,0,0,,,True,,
owl-4,4,0,100,PATH_ACTION,PATH_ACTION,61,还是证明您配被这双手拥抱？,,1,2,0,0,,,True,,
owl-4,4,0,100,PATH_ACTION,PATH_ACTION,62,哈！断剑！空囊！尸骸！,,1,2,0,0,,,True,,
