路径名称,事件ID,动作类型,路径点索引,对话内容,动画名称,手势类型
1,PATH_ACTION,PATH_ACTION,1,恕我直言，我们或许有些太过紧张了。,,
1,PATH_ACTION,PATH_ACTION,,说不定公主殿下自有打算呢？,,
1,PATH_ACTION,PATH_ACTION,,她这次不就成功地从恶龙爪下逃脱了吗？,,
1,PATH_ACTION,PATH_ACTION,,公主殿下是所有人里最强大的那一个，不是吗？,,
1,PATH_ACTION,PATH_ACTION,,到底是什么？别再卖关子了！,,
1,,,,呵呵……,,
1,,,,那希望有效——,,
1,,,,我嘛……就先走了~,,
1,,,,公主……她凭什么是公主呢？,,
1,,,,我又为什么是她的执事？,,
,,,,从我有意识起我就是她的执事，这凭、什、么？,,
,,,,她的强大毫无用武之地，,,
,,,,不如让给我。,,
,,,,说实话我很嫉妒公主。,,
,,,,不是因为她的强大，而是因为……,,
,,,,狼守卫。,,
,,,,她永远那么坚定地站在你背后。,,
,,,,为什么？！,,
,,,,凭什么？！,,
,,,,我哪里不如你？！,,
,,,,为什么没有人能像她相信你一样相信我？,,
,,,,我宁可被恶龙夺走被阴影侵蚀……,,
,,,,……,,
,,,,地牢……这令人作呕的气味！,,
,,,,多么熟悉啊！我在这里生活了一辈子！,,
,,,,每一个角落我都了如指掌。,,
,,,,这里，一根锁链。,,
,,,,这里，一把斧头。,,
,,,,这里，一张破床。,,
,,,,这里，一盏提灯。,,
,,,,我感到眩晕。,,
,,,,太熟悉了太熟悉了太熟悉了！,,
,,,,熟悉得令人作呕！,,
,,,,世界上怎么会有这么恶心的地方？！,,
,,,,这里是地牢，,,
,,,,这里被关押着无数不甘的阴影！,,
,,,,这个王国没有人能看见它们，除了我！,,
,,,,我凭什么要遭这种罪？！,,
,,,,我做错了什么？,,
,,,,为什么没有人相信我的话？！,,
,,,,我、是、对、的！,,
,,,,我才是受害者啊！,,
,,,,为什么没有人听我说话？！,,
,,,,这个王国早就完蛋了，我看得一清二楚！,,
,,,,啊！有人……,,
,,,,我先躲起来看看她在干什么……,,
,,,,……,,
,,,,这个老不死的笨蛋！,,
,,,,她以为以自己那副破身板能救得了公主？,,
,,,,这真是笑话。,,
,,,,这么大岁数的人，怎么还这么没有脑子？,,
,,,,我不如把她吃了，反正也没人看见……,,
,,,,不可以，她是狼守卫啊……,,
,,,,不，为什么不可以？,,
,,,,吃了，我就可以变得更强……,,
,,,,而且，没有人会知道这是谁做的——,,
,,,,“噢！可怜的狼外婆！在救公主的时候被恶龙吃掉啦！”,,
,,,,天哪，这太遗憾了……,,
,,,,这太好不过了！,,
,,,,哈——！,,
,,,,老不死的，快闭嘴！,,
,,,,被我吞噬，这是你的荣幸！,,
,,,,我怎么不能？,,
,,,,噢不，我不能！,,
,,,,我做了什么？！！！！,,
,,,,不对，这就是我想做的……,,
,,,,不对，这不是我想做的！！！！,,
,,,,……,,
,,,,做都做了，这又有什么不好呢？,,
,,,,好，接下来，就是把你拖到墓地去……,,
,,,,……,,
,,,,呼……呼……呼……,,
,,,,唉，狼守卫，其实我一直都很嫉妒你。,,
,,,,你又老又笨，空有一身武力,,
,,,,脑袋空空，每天只考虑眼前的事,,
,,,,却轻轻松松活到了现在。,,
,,,,每天过得也很充实，,,
,,,,没有什么值得你太过费心。,,
,,,,我看到的，你永远看不到。,,
,,,,这是一种天赋。,,
,,,,……,,
,,,,公主，你也没想到你的守卫现在在被我拖去墓地吧？,,
,,,,没想到，,,
,,,,在你被恶龙夺走之前，,,
,,,,你的守卫先死去了。,,
,,,,……,,
,,,,你还活着，只是一息尚存，是吗？,,
,,,,没事，,,
,,,,这也不重要了。,,
,,,,作为您的执事，我会尽职地为您服务到最后。,,
,,,,——我将去神殿为您祷告。,,
,,,,真可悲，,,
,,,,我们的生命会一同消散。,,
,,,,……,,
,,,,龙？！,,
,,,,龙已经来了？！,,
,,,,守护者，请聆听我的话语……,,
