路径ID,路径名称,分数下限,分数上限,事件ID,动作类型,路径点索引,对话内容,动画名称,循环动画,显示时间,延迟时间,停留时间,手势类型,分数影响,是否活跃,事件起始点,事件结束点
# NPC_ID,1,,,,,,,,,,,,,,,,
# NPC_NAME,wolf,,,,,,,,,,,,,,,,
# CURRENT_SCORE,0,,,,,,,,,,,,,,,,
# PATH,wolf-1,1,,,,,,,,,,,,,,,
# PATH_START_TIME,wolf-1,0,,,,,,,,,,,,,,,
# TIME_POINT,wolf-1,0,0,,,,,,,,,,,,,,
# TIME_POINT,wolf-1,4,60,,,,,,,,,,,,,,
wolf-1,1,0,100,PATH_ACTION,PATH_ACTION,0,要我说，这样倒正好。,,1,2,0,0,,,TRUE,,
wolf-1,1,0,100,PATH_ACTION,PATH_ACTION,0,反正公主醒着时，,,1,2,0,0,,,TRUE,,
wolf-1,1,0,100,PATH_ACTION,PATH_ACTION,0,看我们的眼神和看宫墙的污渍没两样！,,1,2,0,0,,,TRUE,,
wolf-1,1,0,100,PATH_ACTION,PATH_ACTION,0,啊呀！您这铁皮罐头...,,1,2,0,0,,,TRUE,,
wolf-1,1,0,100,PATH_ACTION,PATH_ACTION,0,——可惜不能亲手掐断那小鬼的脖子！,,1,2,0,0,,,TRUE,,
wolf-1,1,0,100,PATH_ACTION,PATH_ACTION,0,继续睡啊陛下！睡到永恒尽头吧！,,1,2,0,0,,,TRUE,,
wolf-1,1,0,100,PATH_ACTION,PATH_ACTION,0,如果打破时间循环的唯一方法是唤醒她，,,1,2,0,0,,,TRUE,,
wolf-1,1,0,100,PATH_ACTION,PATH_ACTION,0,我宁可永远活在这循环中！,,1,2,0,0,,,TRUE,,
wolf-1,1,0,100,PATH_ACTION,PATH_ACTION,0,反正我也不记得过往的循环。,,1,2,0,0,,,TRUE,,
wolf-1,1,0,100,PATH_ACTION,PATH_ACTION,0,省省缥缈韵脚吧！,,1,2,0,0,,,TRUE,,
wolf-1,1,0,100,PATH_ACTION,PATH_ACTION,0,守护神的存在你也敢质疑？,,1,2,0,0,,,TRUE,,
wolf-1,1,0,100,PATH_ACTION,PATH_ACTION,0,这是对神的亵渎！,,1,2,0,0,,,TRUE,,
wolf-1,1,0,100,PATH_ACTION,PATH_ACTION,0,小青蛙，就你也配评论剑术？,,1,2,0,0,,,TRUE,,
wolf-1,1,0,100,PATH_ACTION,PATH_ACTION,0,呵呵！,,1,2,0,0,,,TRUE,,
# BRANCHES,wolf-1,,,,,0,,,,,,,,,,,
# BRANCH,wolf-1,wolf-2,0,100,分支 1,0,,,,,,,,,,,
# PATH,wolf-2,2,,,,0,,,,,,,,,,,
# PATH_START_TIME,wolf-2,60,,,,0,,,,,,,,,,,
# TIME_POINT,wolf-2,0,0,,,0,,,,,,,,,,,
# TIME_POINT,wolf-2,2,5,,,0,,,,,,,,,,,
wolf-2,2,0,100,PATH_ACTION,PATH_ACTION,0,“地牢的青蛙也配议论星空？,,1,2,0,0,,,TRUE,,
wolf-2,2,0,100,PATH_ACTION,PATH_ACTION,0,再亵渎神明...,,1,2,0,0,,,TRUE,,
wolf-2,2,0,100,PATH_ACTION,PATH_ACTION,0,我不介意替狱卒补完未尽的绞刑！”,,1,2,0,0,,,TRUE,,
wolf-2,2,0,100,PATH_ACTION,PATH_ACTION,0,“……,,1,2,0,0,,,TRUE,,
wolf-2,2,0,100,PATH_ACTION,PATH_ACTION,0,腐烂之物，只配与蛆虫论长短。,,1,2,0,0,,,TRUE,,
wolf-2,2,0,100,PATH_ACTION,PATH_ACTION,0,我和你没什么好说的了，,,1,2,0,0,,,TRUE,,
wolf-2,2,0,100,PATH_ACTION,PATH_ACTION,0,你好自为之。”,,1,2,0,0,,,TRUE,,
# BRANCHES,wolf-2,,,,,0,,,,,,,,,,,
