路径ID,路径名称,分数下限,分数上限,事件ID,动作类型,路径点索引,对话内容,动画名称,循环动画,显示时间,延迟时间,停留时间,手势类型,分数影响,是否活跃,事件起始点,事件结束点
# NPC_ID,2,,,,,,,,,,,,,,,,
# NPC_NAME,frog,,,,,,,,,,,,,,,,
# CURRENT_SCORE,0,,,,,,,,,,,,,,,,
# PATH,frog-1,1,,,,,,,,,,,,,,,
# PATH_START_TIME,frog-1,0,,,,,,,,,,,,,,,
# TIME_POINT,frog-1,0,0,,,,,,,,,,,,,,
frog-1,1,0,100,PATH_ACTION,PATH_ACTION,0,天哪我受不了了！,,1,2,0,0,,,TRUE,,
frog-1,1,0,100,PATH_ACTION,PATH_ACTION,0,不要再提什么守护神了，,,1,2,0,0,,,TRUE,,
frog-1,1,0,100,PATH_ACTION,PATH_ACTION,0,祂要真存在，,,1,2,0,0,,,TRUE,,
frog-1,1,0,100,PATH_ACTION,PATH_ACTION,0,早该看见我们像驴子拉磨般兜圈子了！,,1,2,0,0,,,TRUE,,
frog-1,1,0,100,PATH_ACTION,PATH_ACTION,0,我说……！,,1,2,0,0,,,TRUE,,
frog-1,1,0,100,PATH_ACTION,PATH_ACTION,0,啊呀！您这铁皮罐头...,,1,2,0,0,,,TRUE,,
frog-1,1,0,100,PATH_ACTION,PATH_ACTION,0,够了...你们眼里只有公主。,,1,2,0,0,,,TRUE,,
frog-1,1,0,100,PATH_ACTION,PATH_ACTION,0,嘻嘻...那祂该变成内侍大人呀？,,1,2,0,0,,,TRUE,,
frog-1,1,0,100,PATH_ACTION,PATH_ACTION,0,毕竟您捅人心脏的手艺...,,1,2,0,0,,,TRUE,,
frog-1,1,0,100,PATH_ACTION,PATH_ACTION,0,比神更利落呢~,,1,2,0,0,,,TRUE,,
frog-1,1,0,100,PATH_ACTION,PATH_ACTION,0,……。,,1,2,0,0,,,TRUE,,
# BRANCHES,frog-1,,,,,0,,,,,,,,,,,
# BRANCH,frog-1,frog-2,0,100,分支 1,0,,,,,,,,,,,
# PATH,frog-2,2,,,,0,,,,,,,,,,,
# PATH_START_TIME,frog-2,60,,,,0,,,,,,,,,,,
# TIME_POINT,frog-2,0,0,,,0,,,,,,,,,,,
# TIME_POINT,frog-2,8,5,,,0,,,,,,,,,,,
frog-2,2,0,100,PATH_ACTION,PATH_ACTION,0,守护神？哈！,,1,2,0,0,,,TRUE,,
frog-2,2,0,100,PATH_ACTION,PATH_ACTION,0,若祂真存在——,,1,2,0,0,,,TRUE,,
frog-2,2,0,100,PATH_ACTION,PATH_ACTION,0,怎会让您这老忠犬啃馊骨头三十年？,,1,2,0,0,,,TRUE,,
frog-2,2,0,100,PATH_ACTION,PATH_ACTION,0,绞呀~,,1,2,0,0,,,TRUE,,
frog-2,2,0,100,PATH_ACTION,PATH_ACTION,0,您这铁片可比公主的冷眼暖和多了！,,1,2,0,0,,,TRUE,,
frog-2,2,0,100,PATH_ACTION,PATH_ACTION,0,话说...,,1,2,0,0,,,TRUE,,
frog-2,2,0,100,PATH_ACTION,PATH_ACTION,0,您深夜摸她棺椁的手...,,1,2,0,0,,,TRUE,,
frog-2,2,0,100,PATH_ACTION,PATH_ACTION,0,是在祈祷还是丈量掐脖子的位置？,,1,2,0,0,,,TRUE,,
frog-2,2,0,100,PATH_ACTION,PATH_ACTION,0,蛆...虫？,,1,2,0,0,,,TRUE,,
frog-2,2,0,100,PATH_ACTION,PATH_ACTION,0,是啊...我早该吞了那碗馊饭！,,1,2,0,0,,,TRUE,,
frog-2,2,0,100,PATH_ACTION,PATH_ACTION,0,而不是奢求您当年捞我出来时——,,1,2,0,0,,,TRUE,,
frog-2,2,0,100,PATH_ACTION,PATH_ACTION,0,掌心的老茧是为我而磨！,,1,2,0,0,,,TRUE,,
frog-2,2,0,100,PATH_ACTION,PATH_ACTION,0,多完美的脊骨沟壑啊...,,1,2,0,0,,,TRUE,,
frog-2,2,0,100,PATH_ACTION,PATH_ACTION,0,若把匕首卡进第三节骨缝...,,1,2,0,0,,,TRUE,,
frog-2,2,0,100,PATH_ACTION,PATH_ACTION,0,您倒地时会不会终于...,,1,2,0,0,,,TRUE,,
frog-2,2,0,100,PATH_ACTION,PATH_ACTION,0,用正眼瞧我一次？,,1,2,0,0,,,TRUE,,
# BRANCHES,frog-2,,,,,0,,,,,,,,,,,
# BRANCH,frog-2,frog-3,0,100,分支 1,0,,,,,,,,,,,
# PATH,frog-3,3,,,,0,,,,,,,,,,,
# PATH_START_TIME,frog-3,80,,,,0,,,,,,,,,,,
# TIME_POINT,frog-3,0,0,,,0,,,,,,,,,,,
frog-3,3,0,100,PATH_ACTION,PATH_ACTION,0,嘘...影子在教我怎么走路呢~,,1,2,0,0,,,TRUE,,
frog-3,3,0,100,PATH_ACTION,PATH_ACTION,0,左七步停顿，右三步按剑...,,1,2,0,0,,,TRUE,,
frog-3,3,0,100,PATH_ACTION,PATH_ACTION,0,笨鸟！别暴露猎人的位置啊！,,1,2,0,0,,,TRUE,,
frog-3,3,0,100,PATH_ACTION,PATH_ACTION,0,汗味混着铁锈...,,1,2,0,0,,,TRUE,,
frog-3,3,0,100,PATH_ACTION,PATH_ACTION,0,和地牢送饭勺一个味！,,1,2,0,0,,,TRUE,,
frog-3,3,0,100,PATH_ACTION,PATH_ACTION,0,您凭什么嫌弃我？！,,1,2,0,0,,,TRUE,,
frog-3,3,0,100,PATH_ACTION,PATH_ACTION,0,等您断气时...,,1,2,0,0,,,TRUE,,
frog-3,3,0,100,PATH_ACTION,PATH_ACTION,0,我要把这泥塞进您喉管——,,1,2,0,0,,,TRUE,,
frog-3,3,0,100,PATH_ACTION,PATH_ACTION,0,"好听听""高贵""被玷污的呛咳！",,1,2,0,0,,,TRUE,,
frog-3,3,0,100,PATH_ACTION,PATH_ACTION,0,祭司说杀人会永困瞬间...,,1,2,0,0,,,TRUE,,
frog-3,3,0,100,PATH_ACTION,PATH_ACTION,0,可若这一瞬能烙进您瞳孔——,,1,2,0,0,,,TRUE,,
frog-3,3,0,100,PATH_ACTION,PATH_ACTION,0,便是我的永恒了！,,1,2,0,0,,,TRUE,,
# BRANCHES,frog-3,,,,,0,,,,,,,,,,,
# BRANCH,frog-3,frog-4,0,100,分支 1,0,,,,,,,,,,,
# PATH,frog-4,4,,,,0,,,,,,,,,,,
# PATH_START_TIME,frog-4,100,,,,0,,,,,,,,,,,
# TIME_POINT,frog-4,0,0,,,0,,,,,,,,,,,
# TIME_POINT,frog-4,7,30,,,0,,,,,,,,,,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,您盔甲熏香…竟掺了公主鸟笼的松脂味？！,,1,2,0,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,该死…手怎么僵了？,,1,2,0,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,都怪祭司那老秃鹫在看着我！,,1,2,0,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,多完美的时机！,,1,2,0,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,全毁在您这身腌入味的丧服上！,,1,2,0,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,都怪您太肮脏！,,1,2,0,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,汗臭腌入骨髓的看门狗…,,1,2,0,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,杀您是替王国清垃圾！,,1,2,0,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,等着吧…,,1,2,0,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,下次定给您这忠犬的骨灰盒,,1,2,0,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,"刻个""殉主标兵""的匾额！",,1,2,0,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,嘻嘻~,,1,2,0,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,,,1,2,0.5,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,,,1,2,0.5,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,,,1,2,0.5,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,,,1,2,0.5,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,,,1,2,0.5,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,,,1,2,0.5,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,,,1,2,0.5,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,,,1,2,0.5,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,,,1,2,0.5,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,,,1,2,0.5,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,,,1,2,0.5,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,,,1,2,0.5,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,,,1,2,0.5,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,,,1,2,0.5,0,,,TRUE,,
frog-4,4,0,100,PATH_ACTION,PATH_ACTION,0,,,1,2,0.5,0,,,TRUE,,
# BRANCHES,frog-4,,,,,0,,,,,,,,,,,
# BRANCH,frog-4,frog-5,0,100,分支 1,0,,,,,,,,,,,
# PATH,frog-5,5,,,,0,,,,,,,,,,,
# PATH_START_TIME,frog-5,136,,,,0,,,,,,,,,,,
# TIME_POINT,frog-5,0,0,,,0,,,,,,,,,,,
# TIME_POINT,frog-5,13,14,,,0,,,,,,,,,,,
frog-5,5,0,100,PATH_ACTION,PATH_ACTION,0,亲爱的观众~,,1,2,0,0,,,TRUE,,
frog-5,5,0,100,PATH_ACTION,PATH_ACTION,0,今日上演《忠犬的椎骨会唱歌》！,,1,2,0,0,,,TRUE,,
frog-5,5,0,100,PATH_ACTION,PATH_ACTION,0,剧情梗概：,,1,2,0,0,,,TRUE,,
frog-5,5,0,100,PATH_ACTION,PATH_ACTION,0,蛆虫帮铁皮罐头开了个...,,1,2,0,0,,,TRUE,,
frog-5,5,0,100,PATH_ACTION,PATH_ACTION,0,通风口！,,1,2,0,0,,,TRUE,,
frog-5,5,0,100,PATH_ACTION,PATH_ACTION,0,滴答~滴答~,,1,2,0,0,,,TRUE,,
frog-5,5,0,100,PATH_ACTION,PATH_ACTION,0,您说地牢馊饭养不活小青蛙？,,1,2,0,0,,,TRUE,,
frog-5,5,0,100,PATH_ACTION,PATH_ACTION,0,可它教会我——,,1,2,0,0,,,TRUE,,
frog-5,5,0,100,PATH_ACTION,PATH_ACTION,0,佐料够狠，剩饭也能放倒獒犬！,,1,2,0,0,,,TRUE,,
frog-5,5,0,100,PATH_ACTION,PATH_ACTION,0,第三节...对啦！,,1,2,0,0,,,TRUE,,
frog-5,5,0,100,PATH_ACTION,PATH_ACTION,0,当年您这里抵着我发抖的肋骨——,,1,2,0,0,,,TRUE,,
frog-5,5,0,100,PATH_ACTION,PATH_ACTION,0,"嘻嘻~现在换我帮您""矫正"" 姿势！",,1,2,0,0,,,TRUE,,
frog-5,5,0,100,PATH_ACTION,PATH_ACTION,0,道具检查~,,1,2,0,0,,,TRUE,,
frog-5,5,0,100,PATH_ACTION,PATH_ACTION,0,旧披风？用来堵惨叫刚刚好！,,1,2,0,0,,,TRUE,,
frog-5,5,0,100,PATH_ACTION,PATH_ACTION,0,毒酒？谢幕的庆功宴呢！,,1,2,0,0,,,TRUE,,
frog-5,5,0,100,PATH_ACTION,PATH_ACTION,0,至于您...,,1,2,0,0,,,TRUE,,
frog-5,5,0,100,PATH_ACTION,PATH_ACTION,0,我唯一的观众兼主演...,,1,2,0,0,,,TRUE,,
frog-5,5,0,100,PATH_ACTION,PATH_ACTION,0,可要活到掌声雷动那刻呀！,,1,2,0,0,,,TRUE,,
frog-5,5,0,100,PATH_ACTION,PATH_ACTION,0,等您倒下时——,,1,2,0,0,,,TRUE,,
frog-5,5,0,100,PATH_ACTION,PATH_ACTION,0,"""小混蛋...""",,1,2,0,0,,,TRUE,,
frog-5,5,0,100,PATH_ACTION,PATH_ACTION,0,"""我在呢！这就送您永远暖和的抱抱！""",,1,2,0,0,,,TRUE,,
# EVENT,frog-5,FROG5,,,,0,,,,,,,,,,,
frog-5,5,0,100,FROG5,GESTURE,0,观众席空荡荡呢…,,1,2,0,0,FROG,0,TRUE,88,0
frog-5,5,0,100,FROG5,GESTURE,0,杀完您之后…,,1,2,0,0,FROG,0,TRUE,88,0
frog-5,5,0,100,FROG5,GESTURE,0,谁来看我下一场戏？,,1,2,0,0,FROG,0,TRUE,88,0
frog-5,5,0,100,FROG5,GESTURE,0,不划算啊…,,1,2,0,0,FROG,0,TRUE,88,0
frog-5,5,0,100,FROG5,GESTURE,0,用余生噩梦换三秒快感？,,1,2,0,0,FROG,0,TRUE,88,0
frog-5,5,0,100,FROG5,GESTURE,0,可若不杀您…,,1,2,0,0,FROG,0,TRUE,88,0
frog-5,5,0,100,FROG5,GESTURE,0,我拿什么证明活过？！,,1,2,0,0,FROG,0,TRUE,88,0
# BRANCHES,frog-5,,,,,0,,,,,,,,,,,
# BRANCH,frog-5,frog-6,0,100,分支 1,0,,,,,,,,,,,
# PATH,frog-6,6,,,,0,,,,,,,,,,,
# PATH_START_TIME,frog-6,180,,,,0,,,,,,,,,,,
# TIME_POINT,frog-6,0,0,,,0,,,,,,,,,,,
# TIME_POINT,frog-6,9,20,,,0,,,,,,,,,,,
frog-6,6,0,100,PATH_ACTION,PATH_ACTION,0,乖手手~,,1,2,0,0,,,TRUE,,
frog-6,6,0,100,PATH_ACTION,PATH_ACTION,0,您这么喜欢公主，,,1,2,0,0,,,TRUE,,
frog-6,6,0,100,PATH_ACTION,PATH_ACTION,0,这个她亲手雕刻送给你的雕像，,,1,2,0,0,,,TRUE,,
frog-6,6,0,100,PATH_ACTION,PATH_ACTION,0,相比您很珍视吧？,,1,2,0,0,,,TRUE,,
frog-6,6,0,100,PATH_ACTION,PATH_ACTION,0,只不过后来它被我偷偷拿走了，,,1,2,0,0,,,TRUE,,
frog-6,6,0,100,PATH_ACTION,PATH_ACTION,0,现在它该…,,1,2,0,0,,,TRUE,,
frog-6,6,0,100,PATH_ACTION,PATH_ACTION,0,物归原主啦！,,1,2,0,0,,,TRUE,,
frog-6,6,0,100,PATH_ACTION,PATH_ACTION,0,"等您弯腰捡这""御赐之物""时——",,1,2,0,0,,,TRUE,,
frog-6,6,0,100,PATH_ACTION,PATH_ACTION,0,月光会替我吻透您后心！,,1,2,0,0,,,TRUE,,
